id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime,Indoor,Popularity,ood_Type
0,北京环球度假区,游乐园/体育娱乐,39.86099,116.68782,全年,09:00,21:00,503.0,2.0,3.0,1,8,其它
1,故宫博物院,历史古迹,39.924091,116.403414,全年,08:30,17:00,0.0,0.5,1.0,1,9,古风写真
2,八达岭长城,历史古迹,40.362639,116.024067,全年,06:30,16:30,40.0,1.0,2.5,0,9,古风写真
3,中国国家博物馆,博物馆/纪念馆,39.911449,116.408018,全年,09:00,17:00,0.0,3.0,3.5,1,7,其它
4,颐和园,文化旅游区,40.008817,116.280234,全年,06:00,20:00,30.0,0.5,1.0,0,8,"河边,古风写真,约会圣地"
5,恭王府,历史古迹,39.943381,116.392599,全年,08:30,17:00,40.0,1.0,2.0,1,6,古风写真
6,天坛,历史古迹,39.889918,116.419289,全年,06:00,22:00,34.0,2.5,4.0,0,8,古风写真
7,圆明园,历史古迹,40.016191,116.309736,全年,07:00,19:00,0.0,0.5,2.0,0,8,"河边,古风写真"
8,慕田峪长城,历史古迹,40.440146,116.575896,全年,07:30,18:00,45.0,0.5,1.5,0,8,"古风写真,约会圣地"
9,北京动物园,公园,39.947726,116.342331,全年,07:30,19:00,15.0,1.0,2.0,0,8,其它
10,北京野生动物园,游乐园/体育娱乐,39.502139,116.340954,全年,08:30,17:30,145.0,1.0,2.5,0,8,其它
11,中国科学技术馆,博物馆/纪念馆,40.012333,116.404938,全年,09:30,17:00,0.0,2.0,2.5,1,8,其它
12,奥林匹克公园,游乐园/体育娱乐,39.999245,116.399206,全年,06:30,22:00,0.0,2.5,4.0,0,8,其它
13,天安门广场,人文景观,39.910095,116.404091,全年,00:00,22:00,0.0,0.5,1.0,0,10,其它
14,雍和宫,文化旅游区,39.953314,116.423776,全年,09:00,17:00,0.0,1.0,2.5,1,6,古风写真
15,鸟巢(国家体育场),游乐园/体育娱乐,39.999285,116.402845,全年,10:00,22:00,96.0,2.5,4.0,0,8,其它
16,明十三陵,历史古迹,40.263544,116.231846,全年,08:30,18:00,30.0,1.5,3.0,0,6,古风写真
17,什刹海,人文景观,39.948373,116.391243,全年,00:00,24:00,0.0,1.5,3.0,0,8,"河边,约会圣地"
18,国家自然博物馆,博物馆/纪念馆,39.889596,116.406249,全年,00:00,24:00,0.0,1.0,2.5,1,6,其它
19,景山公园,公园,39.932136,116.402966,全年,06:00,21:00,0.0,2.0,3.0,0,6,"古风写真,约会圣地"
20,中国人民革命军事博物馆,博物馆/纪念馆,39.914968,116.33021,全年,09:00,17:00,0.0,2.0,2.5,1,7,其它
21,中国地质博物馆,博物馆/纪念馆,39.929388,116.378741,全年,09:00,16:30,15.0,1.5,3.0,1,6,其它
22,古北水镇,文化旅游区,40.661046,117.284632,全年,09:00,22:30,140.0,2.0,2.5,0,6,"古风写真,约会圣地"
23,北京欢乐谷,游乐园/体育娱乐,39.873868,116.501309,全年,09:30,22:00,299.0,1.0,2.5,0,8,约会圣地
24,北京海洋馆,游乐园/体育娱乐,39.950257,116.347445,全年,09:00,17:30,0.0,0.5,1.0,1,8,其它
25,北京天文馆,博物馆/纪念馆,39.943008,116.34338,全年,09:00,16:30,0.0,0.5,1.0,1,6,其它
26,国家大剧院,人文景观,39.91123,116.396261,全年,09:00,17:00,27.0,1.0,2.0,1,8,其它
